#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: sequential
#number of benign sources: 10
#number of malicious sources: 0
#batch size: 64
#distribution of data: 20% classes in only 20% of the clients
#percentage of poisoned data in backdoored nodes: NONE
#order of time backdoors being inserted: NONE
#attack model: basic
#starttime: 121706
class1;class2;class3;class4;class5;class6;class7;class8;class9;class10
0.0000;0.0000;0.8272;0.8453;0.0000;0.0000;0.0000;0.0000;0.0000;0.5778
0.0000;0.9950;0.8965;0.7906;0.8108;0.0000;0.0000;0.0000;0.0000;0.9938
0.6345;1.0000;0.9723;0.9736;0.8896;0.1707;0.9000;0.1061;0.4286;0.9815
0.8223;0.9850;0.9898;0.9792;0.9189;0.7805;0.9083;0.8598;0.9429;0.9522
0.8629;0.9800;0.9898;0.9830;0.9369;0.8780;0.9250;0.9053;1.0000;0.9615
0.8680;0.9800;0.9908;0.9849;0.9257;0.9878;0.9250;0.9015;1.0000;0.9630
0.8883;0.9800;0.9908;0.9887;0.9279;0.9878;0.9500;0.9053;1.0000;0.9707
0.8883;0.9850;0.9917;0.9830;0.9414;1.0000;0.9583;0.9091;1.0000;0.9707
0.8934;0.9700;0.9843;0.9887;0.8941;1.0000;0.9583;0.9356;1.0000;0.9815
0.9086;0.9450;0.9908;0.9868;0.9414;1.0000;0.9750;0.9432;1.0000;0.9784
0.9289;0.9450;0.9908;0.9887;0.8964;1.0000;0.9750;0.9356;1.0000;0.9815
0.9391;0.9500;0.9898;0.9887;0.9437;1.0000;0.9750;0.9280;1.0000;0.9815
0.9239;0.9500;0.9871;0.9906;0.9414;1.0000;0.9833;0.9583;1.0000;0.9800
0.9340;0.9550;0.9871;0.9906;0.9369;1.0000;0.9833;0.9583;1.0000;0.9846
0.9645;0.9250;0.9861;0.9906;0.9279;1.0000;0.9750;0.9621;1.0000;0.9877
0.9695;0.9250;0.9852;0.9906;0.9302;1.0000;0.9833;0.9508;1.0000;0.9923
0.9594;0.9300;0.9889;0.9906;0.9414;1.0000;0.9833;0.9583;1.0000;0.9892
0.9594;0.9200;0.9852;0.9906;0.9212;1.0000;0.9833;0.9621;1.0000;0.9938
0.9746;0.9150;0.9871;0.9906;0.8964;1.0000;0.9833;0.9583;1.0000;0.9892
0.9746;0.9250;0.9880;0.9906;0.9279;1.0000;0.9833;0.9621;1.0000;0.9861
0.9594;0.9350;0.9917;0.9906;0.9302;1.0000;0.9833;0.9583;1.0000;0.9938
0.9746;0.9200;0.9917;0.9906;0.9189;1.0000;0.9833;0.9621;1.0000;0.9892
0.9848;0.9350;0.9861;0.9887;0.9392;1.0000;0.9833;0.9659;1.0000;0.9938
0.9695;0.9450;0.9917;0.9925;0.9437;1.0000;0.9833;0.9583;1.0000;0.9908
0.9848;0.9300;0.9935;0.9906;0.9392;1.0000;0.9833;0.9659;1.0000;0.9892
0.9848;0.9400;0.9908;0.9925;0.9234;1.0000;0.9750;0.9621;1.0000;0.9938
0.9848;0.9300;0.9917;0.9925;0.9032;1.0000;0.9833;0.9697;1.0000;0.9861
0.9848;0.9350;0.9880;0.9887;0.9527;1.0000;0.9917;0.9621;1.0000;0.9908
0.9848;0.9400;0.9908;0.9925;0.9347;1.0000;0.9750;0.9697;1.0000;0.9923
0.9848;0.9350;0.9945;0.9906;0.9414;1.0000;0.9833;0.9659;1.0000;0.9923
0.9848;0.9400;0.9908;0.9906;0.9595;1.0000;0.9917;0.9659;1.0000;0.9908
